date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:04:36	201659/201659	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2026%20Feb%202018%2007:00:24%20GMT	http://demo.highhay.com/firetime/js/vendor/all.js	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/js/vendor/all.js	(from http://demo.highhay.com/firetime/index-logo.html)
19:04:37	19329/19329	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.eot	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.eot	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:38	22880/22880	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.woff	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:38	38452/38452	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/OpenSans-Bold-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/OpenSans-Bold-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:39	55453/55453	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.svg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.svg	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:40	19329/19329	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.eot?	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-light-webfontd41d.eot	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:42	19882/19882	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.eot	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.eot	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:42	23520/23520	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.woff	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.woff	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:43	57431/57431	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.svg	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.svg	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:44	41956/41956	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.ttf	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-light-webfont.ttf	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
19:04:46	19882/19882	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:25%20GMT	http://demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfont.eot?	E:/My%20StartUp/Ingenio%20Pantoja/Templates%20web/En%20construccion%202/demo.highhay.com/firetime/fonts/opensans/opensans-regular-webfontd41d.eot	(from http://demo.highhay.com/firetime/fonts/opensans/stylesheet.css)
